iter	Passed	Remaining
400	18920	28262
401	18967	28214
402	19009	28160
403	19055	28111
404	19098	28057
405	19147	28013
406	19192	27963
407	19239	27915
408	19292	27877
409	19333	27821
410	19377	27769
411	19421	27718
412	19464	27664
413	19511	27618
414	19550	27558
415	19592	27504
416	19636	27453
417	19681	27403
418	19723	27349
419	19771	27304
420	19818	27255
421	19859	27200
422	19910	27159
423	19955	27109
424	19998	27057
425	20046	27011
426	20094	26964
427	20144	26922
428	20188	26870
429	20237	26826
430	20280	26774
431	20324	26722
432	20367	26670
433	20411	26619
434	20452	26565
435	20495	26512
436	20538	26460
437	20585	26413
438	20635	26370
439	20676	26315
440	20723	26268
441	20765	26215
442	20812	26168
443	20859	26120
444	20905	26073
445	20946	26019
446	20990	25968
447	21035	25918
448	21079	25868
449	21117	25809
450	21167	25767
451	21223	25731
452	21267	25680
453	21311	25629
454	21353	25576
455	21397	25527
456	21440	25475
457	21486	25426
458	21533	25380
459	21583	25336
460	21620	25278
461	21667	25232
462	21715	25185
463	21758	25135
464	21806	25088
465	21852	25041
466	21898	24993
467	21944	24945
468	21988	24894
469	22036	24849
470	22089	24809
471	22136	24763
472	22179	24711
473	22226	24665
474	22270	24614
475	22319	24570
476	22363	24520
477	22412	24475
478	22456	24425
479	22500	24375
480	22546	24327
481	22593	24280
482	22644	24238
483	22689	24189
484	22746	24153
485	22799	24113
486	22854	24075
487	22901	24027
488	22943	23975
489	22988	23926
490	23033	23877
491	23077	23827
492	23129	23786
493	23170	23733
494	23212	23681
495	23262	23638
496	23306	23587
497	23352	23539
498	23399	23493
499	23457	23457
500	23500	23406
501	23553	23365
502	23596	23314
503	23640	23265
504	23692	23223
505	23741	23178
506	23784	23127
507	23829	23078
508	23872	23027
509	23919	22981
510	23966	22934
511	24011	22886
512	24056	22837
513	24108	22794
514	24147	22741
515	24190	22690
516	24233	22639
517	24279	22591
518	24318	22538
519	24361	22487
520	24402	22435
521	24450	22389
522	24504	22348
523	24554	22305
524	24598	22255
525	24643	22207
526	24691	22161
527	24739	22115
528	24779	22062
529	24824	22013
530	24865	21961
531	24910	21913
532	24959	21868
533	25006	21821
534	25050	21773
535	25096	21725
536	25146	21681
537	25200	21640
538	25244	21591
539	25285	21539
540	25333	21493
541	25374	21442
542	25418	21392
543	25459	21340
544	25502	21290
545	25547	21242
546	25588	21191
547	25642	21150
548	25686	21101
549	25733	21054
550	25778	21006
551	25830	20963
552	25871	20912
553	25918	20865
554	25964	20817
555	26005	20767
556	26051	20719
557	26099	20673
558	26151	20631
559	26198	20584
560	26240	20533
561	26284	20484
562	26329	20436
563	26373	20387
564	26417	20339
565	26467	20294
566	26525	20256
567	26585	20219
568	26638	20177
569	26681	20128
570	26729	20081
571	26773	20033
572	26816	19984
573	26864	19937
574	26915	19894
575	26966	19850
576	27009	19800
577	27064	19759
578	27117	19717
579	27159	19667
580	27209	19622
581	27249	19570
582	27298	19525
583	27342	19476
584	27392	19431
585	27439	19385
586	27485	19338
587	27533	19292
588	27574	19241
589	27617	19191
590	27667	19146
591	27710	19097
592	27762	19054
593	27808	19006
594	27852	18958
595	27896	18909
596	27939	18860
597	27990	18816
598	28032	18766
599	28082	18721
600	28133	18677
601	28175	18627
602	28223	18581
603	28268	18533
604	28307	18482
605	28352	18434
606	28397	18385
607	28438	18335
608	28482	18287
609	28532	18242
610	28582	18197
611	28627	18149
612	28672	18101
613	28716	18053
614	28758	18003
615	28804	17956
616	28849	17908
617	28901	17864
618	28943	17814
619	28992	17769
620	29042	17725
621	29098	17683
622	29148	17639
623	29189	17588
624	29236	17541
625	29283	17495
626	29324	17445
627	29366	17395
628	29405	17344
629	29449	17295
630	29494	17247
631	29538	17199
632	29581	17150
633	29619	17098
634	29662	17049
635	29707	17002
636	29755	16956
637	29811	16915
638	29851	16864
639	29894	16815
640	29938	16767
641	29983	16719
642	30028	16671
643	30078	16627
644	30125	16580
645	30166	16531
646	30216	16485
647	30268	16442
648	30317	16396
649	30362	16348
650	30404	16299
651	30446	16250
652	30495	16204
653	30533	16154
654	30574	16104
655	30614	16054
656	30656	16004
657	30697	15955
658	30740	15906
659	30790	15861
660	30841	15817
661	30883	15768
662	30934	15723
663	30987	15680
664	31039	15636
665	31084	15589
666	31130	15541
667	31186	15500
668	31239	15456
669	31292	15412
670	31335	15364
671	31384	15318
672	31438	15275
673	31483	15228
674	31533	15182
675	31576	15134
676	31621	15086
677	31664	15038
678	31709	14990
679	31754	14943
680	31806	14898
681	31848	14850
682	31889	14800
683	31935	14753
684	31988	14709
685	32036	14663
686	32078	14615
687	32124	14567
688	32176	14523
689	32220	14475
690	32266	14428
691	32314	14382
692	32363	14336
693	32409	14289
694	32452	14241
695	32499	14195
696	32548	14149
697	32592	14101
698	32635	14053
699	32679	14005
700	32730	13960
701	32770	13911
702	32812	13862
