iter	RMSE
188	0.3762610446
189	0.3762478157
190	0.3762332581
191	0.376217019
192	0.3762029941
193	0.3761875413
194	0.3761750934
195	0.3761595795
196	0.3761424699
197	0.3761199127
198	0.3761028596
199	0.3760899049
200	0.3760803253
201	0.3760683345
202	0.37605267
203	0.3760443903
204	0.3760317712
205	0.3760214688
206	0.3760098889
207	0.3759933206
208	0.375979883
209	0.3759667019
210	0.375959836
211	0.3759468638
212	0.3759376069
213	0.3759231973
214	0.3759116667
215	0.3759003238
216	0.3758898277
217	0.3758799672
218	0.3758673494
219	0.3758574992
220	0.3758429085
221	0.3758293375
222	0.3758142909
223	0.3758020689
224	0.3757912582
225	0.3757777804
226	0.3757663885
227	0.3757558488
228	0.3757415553
229	0.3757302909
230	0.3757181163
231	0.3757053655
232	0.3756917651
233	0.3756820567
234	0.3756706956
235	0.3756571123
236	0.3756456619
237	0.3756321733
238	0.3756246652
239	0.3756132763
240	0.3756013504
241	0.3755918897
242	0.3755757194
243	0.3755668162
244	0.3755564331
245	0.3755443244
246	0.3755341111
247	0.3755239682
248	0.3755127331
249	0.375502783
250	0.3754909948
251	0.3754801259
252	0.3754672105
253	0.3754508871
254	0.3754400658
255	0.375431176
256	0.3754150692
257	0.3754020149
258	0.375390378
259	0.375381627
260	0.3753719724
261	0.3753613224
262	0.3753523667
263	0.375340479
264	0.3753328991
265	0.3753164936
266	0.3753047513
267	0.3752953743
268	0.3752846546
269	0.375270106
270	0.3752590182
271	0.3752513391
272	0.3752393633
273	0.3752288806
274	0.3752206914
275	0.3752072012
276	0.37519669
277	0.3751901334
278	0.3751757706
279	0.3751662604
280	0.3751489696
281	0.3751337668
282	0.3751182528
283	0.3751060859
284	0.3750961801
285	0.3750859056
286	0.375077768
287	0.3750685027
288	0.3750592529
289	0.3750466001
290	0.3750383604
291	0.375028722
292	0.3750199291
293	0.3750121992
294	0.3749983269
295	0.3749926652
296	0.3749861259
297	0.3749798673
298	0.3749731721
299	0.374964907
300	0.3749582156
301	0.374946534
302	0.3749380717
303	0.3749278646
304	0.3749184185
305	0.3749100793
306	0.3749016455
307	0.3748886542
308	0.3748792267
309	0.374866302
310	0.3748531868
311	0.3748416106
312	0.3748320157
313	0.374821741
314	0.374809147
315	0.3747973706
316	0.3747888312
317	0.3747778718
318	0.3747698427
319	0.3747568228
320	0.3747434796
321	0.3747321762
322	0.3747236853
323	0.3747178566
324	0.3747074408
325	0.3746986517
326	0.3746909237
327	0.3746824068
328	0.3746745654
329	0.3746677403
330	0.3746558609
331	0.3746499712
332	0.374642585
333	0.3746352217
334	0.3746282892
335	0.3746177975
336	0.3746051965
337	0.374591643
338	0.3745852449
339	0.3745688415
340	0.3745597111
341	0.3745528237
342	0.374542125
343	0.374532384
344	0.3745235705
345	0.3745128292
346	0.3745072116
347	0.3744996965
348	0.3744938002
349	0.3744824456
350	0.374477857
351	0.37446791
352	0.3744573201
353	0.3744494619
354	0.3744400768
355	0.3744330611
356	0.374422303
357	0.3744077534
358	0.3743959806
359	0.3743852267
360	0.3743779498
361	0.3743675525
362	0.3743582821
363	0.3743494382
364	0.3743385937
365	0.3743336292
366	0.3743229633
367	0.3743156152
368	0.3743072238
369	0.3742974137
370	0.3742871223
371	0.3742803954
372	0.3742761095
373	0.3742666062
374	0.3742578272
375	0.3742503746
376	0.374242007
377	0.3742365838
378	0.3742273068
379	0.3742179575
380	0.3742142011
381	0.3742054699
382	0.3741964149
383	0.3741833807
384	0.374174505
385	0.3741666678
386	0.3741587675
387	0.374150959
388	0.3741424284
389	0.3741289535
390	0.3741218553
391	0.3741160078
392	0.3741073488
393	0.3740976952
394	0.3740905952
395	0.3740831649
396	0.3740757188
397	0.3740664282
398	0.3740548082
399	0.3740455262
400	0.3740389393
401	0.3740330217
402	0.3740257904
403	0.3740209333
404	0.3740092795
405	0.3740032402
406	0.3739912324
407	0.373982295
408	0.3739710662
409	0.3739626599
410	0.3739532286
411	0.3739443317
412	0.3739372859
413	0.3739310425
414	0.3739260188
415	0.3739171293
416	0.3739063481
417	0.3739007471
418	0.3738918573
419	0.3738800238
420	0.3738700933
421	0.3738656879
422	0.3738527654
423	0.3738442155
424	0.37383628
425	0.3738298341
426	0.3738182358
427	0.3738102807
428	0.3738036187
429	0.3737912342
430	0.3737846011
431	0.3737759551
432	0.3737643258
433	0.3737549809
434	0.3737472531
435	0.3737399483
436	0.3737308998
437	0.3737223485
438	0.3737123513
439	0.373706218
440	0.3736970149
441	0.3736874835
442	0.3736800617
443	0.3736702367
444	0.3736598143
445	0.3736545309
446	0.3736479598
447	0.3736382045
448	0.3736302654
449	0.3736252059
450	0.3736188746
451	0.3736085606
452	0.3736016984
453	0.3735933807
454	0.373587256
455	0.3735783035
456	0.3735688123
457	0.373564165
458	0.3735568715
459	0.37354879
460	0.3735455395
461	0.3735331751
462	0.3735263785
463	0.3735183718
464	0.3735082885
465	0.3734999186
466	0.3734923943
467	0.373482301
468	0.3734770037
469	0.3734705933
470	0.373461905
471	0.373451636
472	0.3734449929
473	0.3734362548
474	0.3734297029
475	0.37342005
476	0.3734134392
477	0.3734050696
478	0.3733983542
479	0.3733916541
480	0.3733844864
481	0.3733777642
482	0.3733659698
483	0.3733584422
484	0.3733501128
485	0.3733428327
486	0.3733372423
487	0.3733307594
488	0.3733266486
489	0.3733159184
490	0.3733062186
491	0.3732973159
492	0.3732898117
493	0.3732796599
494	0.3732745265
495	0.373265201
496	0.3732578463
497	0.3732520516
498	0.3732449889
499	0.3732353139
500	0.3732301735
501	0.3732220194
502	0.3732148702
503	0.3732076871
504	0.3731965826
505	0.3731880753
506	0.3731755775
507	0.3731697364
508	0.3731622108
509	0.37315552
510	0.3731471815
511	0.3731419964
512	0.373136581
513	0.3731261032
514	0.3731202631
515	0.3731128492
516	0.3731067906
517	0.373100974
518	0.3730938724
519	0.3730869072
520	0.3730772297
521	0.3730676996
522	0.3730573568
523	0.3730509942
524	0.3730430526
525	0.3730369361
526	0.3730260545
527	0.3730191041
528	0.3730128337
529	0.3730028403
530	0.3729963812
531	0.372986942
532	0.3729777206
533	0.3729701883
534	0.3729649254
535	0.3729574955
536	0.3729498461
537	0.3729403012
538	0.372932647
539	0.3729260034
540	0.3729200157
541	0.3729129116
542	0.3729042669
543	0.3728970409
544	0.3728914909
545	0.3728841357
546	0.3728772136
547	0.3728672194
548	0.3728654529
549	0.3728564735
550	0.3728499015
551	0.3728418687
552	0.3728361236
553	0.372829387
554	0.3728205867
555	0.372812071
556	0.3728048374
557	0.3727952
558	0.3727867509
559	0.3727770022
560	0.3727707495
561	0.3727630062
562	0.3727576896
563	0.3727503108
564	0.3727424081
565	0.3727354768
566	0.3727239105
567	0.3727151557
568	0.3727066612
569	0.3727025759
570	0.3726953402
571	0.3726882355
572	0.3726788129
573	0.3726716996
574	0.3726620286
575	0.3726539525
576	0.3726482077
577	0.3726362344
578	0.3726274561
579	0.3726224126
580	0.3726143604
581	0.3726116097
582	0.3726026883
583	0.3725952554
584	0.3725842339
585	0.3725785483
586	0.3725705518
587	0.3725607979
588	0.372557173
589	0.3725479195
590	0.3725397615
591	0.3725322989
592	0.37252495
593	0.3725192909
594	0.3725149707
595	0.3725053845
596	0.3725004257
597	0.3724943103
598	0.3724857758
599	0.3724768712
600	0.3724669508
601	0.3724610782
602	0.3724529513
603	0.3724455011
604	0.3724438124
605	0.3724377774
606	0.3724300461
607	0.3724202154
608	0.3724138307
609	0.3724038601
610	0.3723952096
611	0.3723906662
612	0.3723821168
613	0.3723752534
614	0.372369982
615	0.3723637232
616	0.3723535823
617	0.3723439315
618	0.3723383804
619	0.3723300386
620	0.3723207365
621	0.3723127257
622	0.3723051632
623	0.3722990793
624	0.3722935904
625	0.3722870671
626	0.3722863229
627	0.3722796784
628	0.3722741232
629	0.3722649783
630	0.3722580464
631	0.372247053
632	0.3722411558
633	0.3722365786
634	0.3722295594
635	0.3722224435
636	0.3722177074
637	0.372205292
638	0.3722031173
639	0.3721957364
640	0.3721879624
641	0.3721781151
642	0.3721675442
643	0.372160044
644	0.3721512342
645	0.3721444277
646	0.3721345306
647	0.3721249166
648	0.3721139988
649	0.3721058668
650	0.372098331
651	0.3720893379
652	0.372080964
653	0.3720749644
654	0.3720680593
655	0.3720639027
656	0.3720583547
657	0.3720502814
658	0.3720445269
659	0.3720359864
660	0.3720289784
661	0.3720258273
662	0.3720155209
663	0.3720093968
664	0.3720009365
665	0.3719959268
666	0.3719904905
667	0.3719832898
668	0.3719766466
669	0.3719705059
670	0.3719626103
671	0.3719547316
672	0.3719441556
673	0.3719359879
674	0.3719276413
675	0.3719181806
676	0.3719121934
677	0.3719077494
678	0.3719017161
679	0.3718983773
680	0.3718904017
681	0.3718827306
682	0.3718734766
683	0.3718645553
684	0.3718528902
685	0.3718418226
686	0.3718346151
687	0.3718284145
688	0.3718218816
689	0.3718121428
690	0.3718073153
691	0.3717995605
692	0.3717903644
693	0.371783722
694	0.3717747113
695	0.3717694019
696	0.3717579373
697	0.3717529256
698	0.3717459771
699	0.371741888
700	0.3717328493
701	0.3717266386
702	0.3717189508
703	0.3717134752
704	0.3717100494
705	0.3717024564
706	0.3716937381
707	0.3716864769
708	0.371681967
709	0.37167377
710	0.3716642905
711	0.3716598432
712	0.3716529046
713	0.3716448018
714	0.3716388193
715	0.3716294332
716	0.3716236347
717	0.3716132119
718	0.3716012027
719	0.3715906588
720	0.3715884004
721	0.3715835583
722	0.3715782578
723	0.3715769311
724	0.3715716775
725	0.3715649389
726	0.3715590519
727	0.3715542266
728	0.3715425363
729	0.3715331356
730	0.3715292684
731	0.3715186009
732	0.3715109388
733	0.3715034733
734	0.3714949531
735	0.3714865145
736	0.3714798054
737	0.3714728845
738	0.3714699347
739	0.3714620119
740	0.3714552502
741	0.3714475173
742	0.3714398174
743	0.3714325898
744	0.3714270963
745	0.3714203802
746	0.371414226
747	0.3714055158
748	0.3714037542
749	0.3714000624
750	0.3713950657
751	0.3713880904
752	0.3713821761
753	0.3713754741
754	0.3713711267
755	0.3713649901
756	0.3713587471
757	0.3713502819
758	0.3713389123
759	0.3713341182
760	0.3713260388
761	0.3713152207
762	0.3713045016
763	0.3713001179
764	0.3712921492
765	0.3712844765
766	0.3712746021
767	0.3712682056
768	0.3712619521
769	0.3712539057
770	0.3712483621
771	0.3712408192
772	0.3712317355
773	0.3712231516
774	0.3712139015
775	0.3712021107
776	0.3711976111
777	0.3711873716
778	0.3711840162
779	0.3711784864
780	0.3711699955
781	0.3711600359
782	0.3711542456
783	0.3711489757
784	0.3711427388
785	0.3711341064
786	0.3711256775
787	0.3711199046
788	0.3711078304
789	0.3710952521
790	0.3710883783
791	0.3710790313
792	0.37107204
793	0.3710649148
794	0.3710597473
795	0.3710530934
796	0.3710457635
797	0.3710347392
798	0.3710252809
799	0.3710192694
800	0.3710081988
801	0.3710008177
802	0.3709961028
803	0.3709922414
804	0.3709876586
805	0.3709838346
806	0.370972588
807	0.3709637663
808	0.3709547144
809	0.3709471294
810	0.370940625
811	0.3709362321
812	0.3709285295
813	0.3709228425
814	0.3709161945
815	0.3709056634
816	0.3708947878
817	0.3708898234
818	0.3708867401
819	0.3708804632
820	0.3708719825
821	0.3708653376
822	0.3708595944
823	0.3708515262
824	0.3708443716
825	0.3708393269
826	0.3708283206
827	0.370822924
828	0.3708181251
829	0.3708104736
830	0.3708051446
831	0.3707951783
832	0.3707878068
833	0.3707786609
834	0.3707753019
835	0.3707680198
836	0.370761723
837	0.3707549899
838	0.3707505952
839	0.3707451498
840	0.3707400845
841	0.3707342124
842	0.3707272632
843	0.3707211209
844	0.3707130932
845	0.3707053459
846	0.3706986711
847	0.3706887875
848	0.3706829381
849	0.3706779632
850	0.3706724562
851	0.3706650974
852	0.370659575
853	0.3706545574
854	0.3706504643
855	0.3706443682
856	0.3706374314
857	0.3706323326
858	0.3706286172
859	0.3706226063
860	0.3706127927
861	0.3706064271
862	0.3705992387
863	0.370590938
864	0.3705837941
865	0.3705750097
866	0.3705642959
867	0.370558174
868	0.3705530555
869	0.3705486965
870	0.3705382227
871	0.3705334296
872	0.3705258472
873	0.3705190289
874	0.3705103627
875	0.3705039459
876	0.3704972723
877	0.3704908222
878	0.3704823822
879	0.3704726752
880	0.3704652966
881	0.3704584104
882	0.3704510539
883	0.3704441052
884	0.3704362842
885	0.3704295141
886	0.3704256578
887	0.370418967
888	0.3704098885
889	0.3704020578
890	0.3703994905
891	0.3703911414
892	0.3703843786
893	0.3703763976
894	0.3703708306
895	0.3703647432
896	0.3703593609
897	0.3703553556
898	0.3703485296
899	0.3703394461
900	0.3703306394
901	0.3703251248
902	0.3703196465
903	0.3703151071
904	0.3703102599
905	0.3703034999
906	0.3702954882
907	0.3702867207
908	0.3702812508
909	0.3702706701
910	0.3702622308
911	0.3702574926
912	0.3702493251
913	0.3702431752
914	0.3702331472
915	0.370226154
916	0.3702222981
917	0.3702183555
918	0.3702088531
919	0.3702029817
920	0.3701934731
921	0.3701853825
922	0.370181085
923	0.3701690009
924	0.3701646723
925	0.3701602064
926	0.3701566821
927	0.3701501291
928	0.3701439935
929	0.370136023
930	0.370126222
931	0.3701185343
932	0.3701130141
933	0.3701074753
934	0.3701002201
935	0.3700917013
936	0.3700869748
937	0.3700799856
938	0.3700760794
939	0.3700663982
940	0.3700638855
941	0.3700572227
942	0.3700510411
943	0.3700457814
944	0.3700392173
945	0.3700329451
946	0.3700275461
947	0.3700166472
948	0.3700060909
949	0.3699951916
950	0.3699918488
951	0.3699855341
952	0.3699782539
953	0.3699723252
954	0.3699678315
955	0.3699650105
956	0.3699593943
957	0.3699541201
958	0.3699453665
959	0.3699417175
960	0.369933977
961	0.3699231361
962	0.3699147944
963	0.3699084185
964	0.3699007427
965	0.3698948984
966	0.3698883665
967	0.3698820001
968	0.3698776824
969	0.3698704038
970	0.3698654515
971	0.3698615716
972	0.3698526942
973	0.369847762
974	0.3698387408
975	0.3698331084
976	0.3698261631
977	0.3698224621
978	0.3698152855
979	0.3698067936
980	0.3697991262
981	0.3697942555
982	0.3697889279
983	0.3697828946
984	0.3697747547
985	0.3697679337
986	0.3697635438
987	0.369757162
988	0.3697490599
989	0.3697430059
990	0.3697380678
991	0.3697323453
992	0.3697263063
993	0.3697189597
994	0.3697111272
995	0.369705179
996	0.369700126
997	0.3696920246
998	0.3696851233
999	0.3696769563
